totalNoise,uNoiseRatio,oNoiseRatio,taus_o_mean,taus_o_stdv,alphas_o_mean,alphas_o_stdv,max_jaccard_sim_o_mean, max_jaccard_sim_o_stdv,max_policy_sim_o_mean, max_policy_sim_o_stdv,taus_u_mean,taus_u_stdv,alphas_u_mean,alphas_u_stdv, max_jaccard_sim_u_mean, max_jaccard_sim_u_stdv,max_policy_sim_u_mean, max_policy_sim_u_stdv,taus_p_mean,taus_p_stdv,alphas_p_mean,alphas_p_stdv,max_policy_sim_p_mean, max_policy_sim_p_stdv
   0.03, 0.0043, 0.0214,   0.31,   0.03,   0.04,   0.01,   0.97,   0.06,   1.00,   0.00,   0.08,   0.00,   0.05,   0.02,   1.00,   0.00,   0.98,   0.00,   0.31,   0.03,   0.04,   0.01,   1.00,   0.00,
   0.06, 0.0086, 0.0429,   0.46,   0.10,   0.05,   0.01,   0.99,   0.02,   1.00,   0.00,   0.08,   0.00,   0.05,   0.01,   0.94,   0.16,   0.96,   0.00,   0.42,   0.11,   0.05,   0.01,   1.00,   0.00,
   0.09, 0.0129, 0.0643,   0.65,   0.49,   0.07,   0.03,   0.92,   0.10,   0.98,   0.01,   0.08,   0.00,   0.07,   0.03,   0.76,   0.23,   0.93,   0.00,   0.43,   0.09,   0.07,   0.03,   0.99,   0.01,
   0.12, 0.0171, 0.0857,   0.62,   0.49,   0.07,   0.02,   0.92,   0.08,   0.98,   0.02,   0.08,   0.00,   0.07,   0.02,   0.84,   0.20,   0.91,   0.01,   0.43,   0.12,   0.05,   0.03,   0.98,   0.01,
