totalNoise,uNoiseRatio,oNoiseRatio,taus_o_mean,taus_o_stdv,alphas_o_mean,alphas_o_stdv,max_jaccard_sim_o_mean, max_jaccard_sim_o_stdv,max_policy_sim_o_mean, max_policy_sim_o_stdv,taus_u_mean,taus_u_stdv,alphas_u_mean,alphas_u_stdv, max_jaccard_sim_u_mean, max_jaccard_sim_u_stdv,max_policy_sim_u_mean, max_policy_sim_u_stdv,taus_p_mean,taus_p_stdv,alphas_p_mean,alphas_p_stdv,max_policy_sim_p_mean, max_policy_sim_p_stdv
   0.03, 0.0043, 0.0214,   0.57,   0.51,   0.02,   0.01,   0.98,   0.04,   1.00,   0.00,   0.08,   0.00,   0.02,   0.01,   0.98,   0.04,   0.98,   0.00,   0.30,   0.00,   0.02,   0.01,   1.00,   0.00,
   0.06, 0.0086, 0.0429,   1.33,   0.71,   0.04,   0.01,   0.98,   0.03,   1.00,   0.00,   0.08,   0.00,   0.04,   0.01,   0.96,   0.07,   0.96,   0.00,   0.49,   0.03,   0.04,   0.02,   1.00,   0.00,
   0.09, 0.0129, 0.0643,   1.43,   0.74,   0.05,   0.01,   1.00,   0.00,   0.99,   0.00,   0.08,   0.00,   0.05,   0.01,   0.88,   0.09,   0.94,   0.00,   0.49,   0.07,   0.05,   0.01,   0.99,   0.00,
   0.12, 0.0171, 0.0857,   1.00,   0.69,   0.06,   0.01,   0.96,   0.04,   0.99,   0.01,   0.08,   0.00,   0.07,   0.01,   0.92,   0.09,   0.92,   0.00,   0.47,   0.09,   0.07,   0.01,   0.99,   0.00,
