totalNoise,uNoiseRatio,oNoiseRatio,taus_o_mean,taus_o_stdv,alphas_o_mean,alphas_o_stdv,max_jaccard_sim_o_mean, max_jaccard_sim_o_stdv,max_policy_sim_o_mean, max_policy_sim_o_stdv,taus_u_mean,taus_u_stdv,alphas_u_mean,alphas_u_stdv, max_jaccard_sim_u_mean, max_jaccard_sim_u_stdv,max_policy_sim_u_mean, max_policy_sim_u_stdv,taus_p_mean,taus_p_stdv,alphas_p_mean,alphas_p_stdv,max_policy_sim_p_mean, max_policy_sim_p_stdv
   0.03, 0.0043, 0.0214,   0.44,   0.19,   0.04,   0.01,   1.00,   0.01,   1.00,   0.00,   0.08,   0.00,   0.04,   0.01,   0.93,   0.15,   0.98,   0.00,   0.35,   0.10,   0.04,   0.01,   1.00,   0.00,
   0.06, 0.0086, 0.0429,   1.05,   1.04,   0.07,   0.02,   0.96,   0.04,   0.99,   0.01,   0.08,   0.00,   0.06,   0.02,   0.82,   0.18,   0.96,   0.00,   0.44,   0.10,   0.06,   0.03,   0.99,   0.00,
   0.09, 0.0129, 0.0643,   1.39,   1.21,   0.06,   0.02,   0.94,   0.08,   0.98,   0.01,   0.08,   0.00,   0.06,   0.02,   0.81,   0.22,   0.93,   0.01,   0.44,   0.10,   0.05,   0.03,   0.99,   0.01,
   0.12, 0.0171, 0.0857,   0.64,   0.48,   0.07,   0.02,   0.87,   0.08,   0.97,   0.01,   0.08,   0.00,   0.06,   0.03,   0.62,   0.13,   0.91,   0.01,   0.43,   0.09,   0.05,   0.03,   0.97,   0.01,
