totalNoise,uNoiseRatio,oNoiseRatio,taus_o_mean,taus_o_stdv,alphas_o_mean,alphas_o_stdv,max_jaccard_sim_o_mean, max_jaccard_sim_o_stdv,max_policy_sim_o_mean, max_policy_sim_o_stdv,taus_u_mean,taus_u_stdv,alphas_u_mean,alphas_u_stdv, max_jaccard_sim_u_mean, max_jaccard_sim_u_stdv,max_policy_sim_u_mean, max_policy_sim_u_stdv,taus_p_mean,taus_p_stdv,alphas_p_mean,alphas_p_stdv,max_policy_sim_p_mean, max_policy_sim_p_stdv
   0.03, 0.0043, 0.0257,   0.35,   0.05,   0.03,   0.01,   1.00,   0.01,   1.00,   0.00,   0.08,   0.00,   0.03,   0.01,   0.88,   0.20,   0.97,   0.00,   0.34,   0.05,   0.03,   0.01,   1.00,   0.00,
   0.06, 0.0086, 0.0514,   0.49,   0.06,   0.06,   0.03,   1.00,   0.01,   0.99,   0.01,   0.08,   0.00,   0.05,   0.02,   0.86,   0.19,   0.95,   0.00,   0.47,   0.08,   0.06,   0.02,   1.00,   0.01,
   0.09, 0.0129, 0.0771,   0.48,   0.08,   0.06,   0.02,   0.96,   0.06,   0.99,   0.01,   0.08,   0.00,   0.06,   0.02,   0.74,   0.20,   0.92,   0.00,   0.43,   0.09,   0.06,   0.02,   0.99,   0.01,
   0.12, 0.0171, 0.1029,   0.51,   0.03,   0.07,   0.02,   0.94,   0.08,   0.98,   0.02,   0.08,   0.00,   0.06,   0.02,   0.64,   0.23,   0.90,   0.01,   0.49,   0.07,   0.05,   0.03,   0.98,   0.01,
