totalNoise,uNoiseRatio,oNoiseRatio,taus_o_mean,taus_o_stdv,alphas_o_mean,alphas_o_stdv,max_jaccard_sim_o_mean, max_jaccard_sim_o_stdv,max_policy_sim_o_mean, max_policy_sim_o_stdv,taus_u_mean,taus_u_stdv,alphas_u_mean,alphas_u_stdv, max_jaccard_sim_u_mean, max_jaccard_sim_u_stdv,max_policy_sim_u_mean, max_policy_sim_u_stdv,taus_p_mean,taus_p_stdv,alphas_p_mean,alphas_p_stdv,max_policy_sim_p_mean, max_policy_sim_p_stdv
   0.03, 0.0043, 0.0257,   0.37,   0.08,   0.02,   0.01,   1.00,   0.00,   1.00,   0.00,   0.08,   0.00,   0.02,   0.01,   1.00,   0.00,   0.97,   0.00,   0.37,   0.08,   0.02,   0.01,   1.00,   0.00,
   0.06, 0.0086, 0.0514,   0.50,   0.05,   0.03,   0.01,   1.00,   0.00,   1.00,   0.00,   0.08,   0.00,   0.03,   0.01,   0.93,   0.14,   0.95,   0.00,   0.50,   0.05,   0.03,   0.01,   1.00,   0.00,
   0.09, 0.0129, 0.0771,   0.52,   0.04,   0.04,   0.01,   1.00,   0.00,   1.00,   0.00,   0.08,   0.00,   0.04,   0.01,   1.00,   0.00,   0.93,   0.00,   0.52,   0.04,   0.04,   0.01,   1.00,   0.00,
   0.12, 0.0171, 0.1029,   0.54,   0.05,   0.05,   0.01,   1.00,   0.00,   1.00,   0.00,   0.08,   0.00,   0.05,   0.01,   0.98,   0.07,   0.91,   0.00,   0.54,   0.05,   0.05,   0.01,   1.00,   0.00,
