Job 65: Waiting time = 0.0037408000000000996 | Resolution time = 0.0006156999999999968 | Resolution type = Policy
Job 66: Waiting time = 0.002748299999999926 | Resolution time = 0.0027239000000003344 | Resolution type = None
Job 67: Waiting time = 0.0016048999999997982 | Resolution time = 0.0015814999999999024 | Resolution type = Policy
Job 68: Waiting time = 0.0005044000000000715 | Resolution time = 0.0004823999999996609 | Resolution type = Policy
Job 69: Waiting time = 0.0018458999999997339 | Resolution time = 0.0018224999999998381 | Resolution type = None
Job 70: Waiting time = 0.0009094000000002822 | Resolution time = 0.000885100000000083 | Resolution type = Policy
Job 71: Waiting time = 0.001351200000000219 | Resolution time = 0.001321600000000256 | Resolution type = None
Job 72: Waiting time = 0.00184059999999997 | Resolution time = 0.001814200000000099 | Resolution type = Policy
Job 73: Waiting time = 0.0019392000000002518 | Resolution time = 0.0018831000000001374 | Resolution type = None
Job 74: Waiting time = 0.002569400000000055 | Resolution time = 0.0006436999999999138 | Resolution type = Policy
Job 75: Waiting time = 0.0007581999999999312 | Resolution time = 0.000733600000000223 | Resolution type = Policy
Job 76: Waiting time = 0.0006076000000003745 | Resolution time = 0.0005880000000000329 | Resolution type = Policy
Job 77: Waiting time = 0.0012205000000000688 | Resolution time = 0.0012015000000000775 | Resolution type = Policy
Job 78: Waiting time = 0.0007214000000002052 | Resolution time = 0.0006623999999999519 | Resolution type = Policy
Job 79: Waiting time = 0.002833900000000167 | Resolution time = 0.002121400000000051 | Resolution type = None
Job 80: Waiting time = 0.002032099999999648 | Resolution time = 0.0020001999999998965 | Resolution type = Policy
Job 81: Waiting time = 0.0028969999999999274 | Resolution time = 0.0024687999999999377 | Resolution type = None
Job 82: Waiting time = 0.0016487000000000585 | Resolution time = 0.0015781000000001377 | Resolution type = None
Job 83: Waiting time = 0.0027289999999999814 | Resolution time = 0.0010996999999997037 | Resolution type = None
Job 84: Waiting time = 0.003966699999999879 | Resolution time = 0.0012380999999996867 | Resolution type = None
